date,open,high,low,close,volume,ticker
2024-09-02,6927.75,6945.0,6762.05,6779.6,265745.0,Quantrex
2024-09-03,6806.0,6833.95,6735.0,6768.8,347960.0,Quantrex
2024-09-04,6768.8,6814.65,6711.0,6758.8,210812.0,Quantrex
2024-09-05,6790.0,6800.05,6678.05,6686.2,217393.0,Quantrex
2024-09-06,6642.0,6700.0,6601.0,6614.35,276535.0,Quantrex
2024-09-09,6610.0,6648.95,6502.75,6558.25,288303.0,Quantrex
2024-09-10,6600.0,6645.0,6536.9,6582.9,230709.0,Quantrex
2024-09-11,6597.75,6704.65,6563.8,6592.7,249105.0,Quantrex
2024-09-12,6647.75,6663.95,6581.75,6654.4,154448.0,Quantrex
2024-09-13,6680.0,6750.0,6666.05,6710.25,172907.0,Quantrex
2024-09-16,6730.0,6775.0,6708.0,6712.8,72127.0,Quantrex
2024-09-17,6725.0,6775.0,6692.25,6763.9,99089.0,Quantrex
2024-09-18,6800.0,6801.85,6706.0,6740.3,117755.0,Quantrex
2024-09-19,6775.0,6843.75,6505.0,6725.65,362166.0,Quantrex
2024-09-20,6751.85,6861.7,6712.35,6832.75,582735.0,Quantrex
2024-09-23,6872.0,6959.95,6841.0,6938.4,215540.0,Quantrex
2024-09-24,6938.4,7124.5,6930.0,7095.7,388948.0,Quantrex
2024-09-25,7107.0,7222.95,7075.0,7177.0,525815.0,Quantrex
2024-09-26,7210.0,7237.85,6990.1,7077.25,273622.0,Quantrex
2024-09-27,7077.25,7324.0,7035.0,7295.2,539298.0,Quantrex
2024-09-30,7294.5,7319.9,7179.1,7250.0,331600.0,Quantrex
2024-10-01,7274.8,7550.0,7254.05,7511.7,516730.0,Quantrex
2024-10-03,7451.7,7518.0,7305.0,7346.4,242295.0,Quantrex
2024-10-04,7345.0,7368.55,7182.0,7246.85,277939.0,Quantrex
2024-10-07,7305.85,7337.95,6976.1,6998.15,259012.0,Quantrex
2024-10-08,7010.0,7399.95,6955.25,7372.15,333417.0,Quantrex
2024-10-09,7375.0,7743.1,7364.9,7677.2,528414.0,Quantrex
2024-10-10,7700.0,7739.85,7591.15,7686.75,218831.0,Quantrex
2024-10-11,7690.0,7779.95,7558.0,7749.9,220752.0,Quantrex
2024-10-14,7780.0,7785.0,7674.0,7725.4,161506.0,Quantrex
2024-10-15,7805.5,7880.1,7703.75,7870.05,350978.0,Quantrex
2024-10-16,7870.05,8129.9,7856.05,7986.3,972512.0,Quantrex
2024-10-17,7986.3,8000.0,7650.3,7717.65,388931.0,Quantrex
2024-10-18,7720.1,7854.6,7565.0,7803.0,274616.0,Quantrex
2024-10-21,7840.0,7873.45,7454.05,7481.6,226557.0,Quantrex
2024-10-22,7481.6,7481.6,7210.85,7238.7,464524.0,Quantrex
2024-10-23,7238.0,7276.65,6850.95,6872.05,477011.0,Quantrex
2024-10-24,6899.0,6971.95,6716.0,6848.0,462766.0,Quantrex
2024-10-25,6880.0,6897.85,6656.15,6776.45,314825.0,Quantrex
2024-10-28,6796.45,6867.2,6695.0,6751.35,274782.0,Quantrex
2024-10-29,6790.0,6919.7,6670.0,6907.6,251361.0,Quantrex
2024-10-30,6917.0,7012.8,6821.0,6930.05,195677.0,Quantrex
2024-10-31,6910.0,7008.15,6910.0,6976.3,170622.0,Quantrex
2024-11-01,6976.35,7008.95,6876.35,6949.1,17739.0,Quantrex
2024-11-04,7006.9,7006.9,6783.2,6954.0,284902.0,Quantrex
2024-11-05,6950.05,6998.0,6820.25,6957.65,262955.0,Quantrex
2024-11-06,6999.0,7110.0,6938.65,7050.6,252101.0,Quantrex
2024-11-07,7120.0,7150.95,6956.05,7073.45,202431.0,Quantrex
2024-11-08,7088.0,7227.4,7009.5,7174.35,322837.0,Quantrex
2024-11-11,7165.05,7180.0,7034.0,7046.05,216883.0,Quantrex
2024-11-12,7059.95,7097.75,6777.0,6799.45,223437.0,Quantrex
2024-11-13,6799.55,6825.0,6645.05,6704.55,214678.0,Quantrex
2024-11-14,6704.0,6767.85,6586.25,6736.85,254611.0,Quantrex
2024-11-18,6825.0,6836.35,6612.1,6640.2,141436.0,Quantrex
2024-11-19,6683.0,6787.8,6629.55,6645.65,221623.0,Quantrex
2024-11-21,6645.5,6712.0,6551.45,6641.65,216473.0,Quantrex
2024-11-22,6664.45,6975.0,6649.0,6849.4,349289.0,Quantrex
2024-11-25,6982.0,7396.75,6971.4,7348.5,1468152.0,Quantrex
2024-11-26,7399.0,7410.15,7229.95,7242.5,269522.0,Quantrex
2024-11-27,7499.0,7622.95,7374.05,7436.8,1360472.0,Quantrex
2024-11-28,7484.9,7598.35,7397.3,7420.0,735189.0,Quantrex
2024-11-29,7441.0,7633.0,7425.05,7560.85,577972.0,Quantrex
2024-12-02,7575.0,7648.0,7485.05,7563.2,414244.0,Quantrex
2024-12-03,7620.0,7749.0,7591.55,7731.0,464526.0,Quantrex
2024-12-04,7780.0,7946.6,7722.6,7749.2,555884.0,Quantrex
2024-12-05,7800.0,7850.0,7725.0,7792.45,290094.0,Quantrex
2024-12-06,7800.0,7898.0,7752.1,7787.6,235738.0,Quantrex
